This log file records all log in attempts with timestamps and success/failure
Log DateTimeStamp (UTC)            UserID used      Success/Failure
2021-05-27T20:11:51.545107Z            test             Success
2021-05-27T20:16:50.187503Z            test             Success
2021-05-27T20:41:51.611170Z            test             Success
2021-05-27T21:15:52.297189Z            test             Success
2021-05-27T21:22:42.062432Z            test             Success
2021-05-27T21:23:43.322212Z            test             Success
2021-05-27T21:29:06.144375Z            test             Success
2021-05-27T21:31:03.633238Z            test             Success
2021-05-27T21:31:53.981673Z            test             Success
2021-05-27T21:32:33.627439Z            test             Success
2021-05-27T21:43:49.455185Z            test             Success
2021-05-27T22:04:09.327955Z            test             Success
2021-05-27T22:07:49.702623Z            test             Success
2021-05-27T22:19:06.008677Z            test             Success
2021-05-27T22:25:48.059943Z            test             Success
2021-05-27T22:31:24.030704Z            test             Success
2021-05-28T17:50:36.500965Z            test             Success
2021-05-28T17:53:13.292984Z            test             Success
2021-05-28T17:54:45.952032Z            test             Success
2021-05-28T18:25:43.984849Z            test             Success
2021-05-28T18:28:54.148260Z            test             Success
2021-05-28T18:30:06.112999Z            test             Success
2021-05-28T18:39:56.931517Z            test             Success
2021-05-28T19:01:33.723583Z            test             Success
2021-05-28T19:04:41.123105Z            test             Success
2021-05-28T20:21:23.564961Z            test             Success
2021-05-28T20:25:46.715970Z            test             Success
2021-05-28T20:30:34.502415Z            test             Success
2021-05-28T20:43:38.549962Z            test             Success
2021-05-28T21:11:32.003344Z            test             Success
2021-05-28T21:12:58.605586Z            test             Success
2021-05-28T21:28:18.304956Z            test             Success
2021-05-28T21:35:05.596162Z            test             Success
2021-05-28T21:37:21.170191Z            test             Success
2021-05-28T21:39:00.673155Z            test             Success
2021-05-28T21:40:58.650741Z            test             Success
2021-05-28T21:42:23.466308Z            test             Success
2021-05-28T21:45:04.724370Z            test             Success
2021-05-28T21:46:22.407650Z            test             Success
2021-05-28T21:49:39.232823Z            test             Success
2021-05-28T21:52:44.870277Z            test             Success
2021-05-28T21:54:03.394639Z            test             Success
2021-05-28T21:57:24.298988Z            test             Success
2021-05-28T22:08:04.921522Z            test             Success
2021-05-30T17:34:42.438992Z            test             Success
2021-05-30T17:41:26.479889Z            test             Success
2021-05-30T17:45:10.543467Z            test             Success
2021-05-30T17:48:36.075338Z            test             Failure
2021-05-30T17:48:42.997503Z            test             Failure
2021-05-30T17:53:43.404220Z            test             Failure
2021-05-30T17:59:32.347511Z            test             Success
2021-05-30T18:05:09.917397Z            test             Success
2021-05-30T18:09:52.483663Z            test             Success
2021-05-30T18:20:07.594788Z            admin             Success
2021-05-30T18:58:19.768246Z            admin             Success
2021-05-30T18:59:52.024653Z            test             Success
2021-05-30T19:04:22.292090Z            test             Success
2021-05-30T19:10:46.791962Z            test             Success
2021-05-30T19:18:02.494221Z            test             Success
2021-06-02T22:02:30.079572Z            test             Success
2021-06-05T15:41:52.949051Z            test             Success
2021-06-05T18:02:29.542575Z            test             Success
2021-06-05T18:20:13.168186Z            test             Success
2021-06-05T18:23:12.577751Z            test             Success
2021-06-05T18:26:42.702068Z            test             Success
2021-06-05T18:33:18.208422Z            test             Success
2021-06-05T18:35:27.216569Z            test             Success
2021-06-05T18:37:51.302838Z            test             Success
2021-06-05T18:41:57.386243Z            test             Success
2021-06-05T18:44:59.159729Z            test             Success
2021-06-05T18:46:51.577167Z            test             Success
2021-06-05T18:51:14.113451Z            test             Success
2021-06-05T19:08:19.818197Z            test             Success
2021-06-05T19:09:13.242362Z            test             Success
2021-06-05T19:09:53.295358Z            test             Success
2021-06-05T19:11:54.206785Z            test             Success
2021-06-05T19:14:56.528730Z            test             Success
2021-06-05T19:18:04.003542Z            test             Success
2021-06-05T19:21:45.667241Z            test             Success
2021-06-05T19:25:20.614637Z            test             Success
2021-06-05T19:30:16.148575Z            fake             Failure
2021-06-05T19:43:46.925574Z            test             Success
2021-06-05T19:46:01.802592Z            test             Success
2021-06-05T19:50:09.218118Z            test             Success
2021-06-05T19:51:23.548229Z            test             Success
2021-06-05T19:59:52.627435Z            test             Success
2021-06-05T20:01:17.056252Z            test             Success
2021-06-05T20:03:40.324294Z            test             Success
2021-06-05T20:05:45.238571Z            test             Success
2021-06-05T20:09:49.877078Z            test             Success
2021-06-05T20:12:51.806822Z            test             Success
